Ticket_ID,Titulo,Texto_Completo,Q_Score_DoR,Tipo_Detectado,SP_Empirico_Historico,SP_Inferencia_IA,Justificacion_IA,Desviacion_SP
11,Visual Clue of New Content...,"Visual Clue of New Content
Historia: As a psychiatrist, I want a subtle visual cue (e.g., a blue dot) displayed next to the patient's name on the patient list if they have entered a new Emotional Diary or Questionnaire since my last review.
Criterios de Aceptación: 1. Given a patient who has completed a new questionnaire or emotional diary, when the psychiatrist accesses the ""Patient View"", then a small visual indicator (e.g., a blue dot) appears next to the patient's name in the list.
2. Since the psychiatrist clicks on the patient with the visual cue, and accesses the section where the new content is located (e.g., Questionnaire History), then the indicator disappears when the view loads.
3. Since the psychiatrist navigates to the patient's file, the visual cue should remain visible in the patient list until they have actually reviewed the ""Emotional Diary"" or ""Questionnaires"" section.",4.0,User Story,3,5,"El PBI presenta una historia de usuario clara que entrega valor directo a un usuario final (el psiquiatra) al proporcionar un indicador visual de nuevo contenido. Los criterios de aceptación son específicos y medibles, aunque podrían beneficiarse de una mayor claridad en cuanto a la definición de 'revisar' el contenido. No hay ambigüedades severas, pero la falta de contexto sobre cómo se determina que el contenido ha sido revisado podría ser un área de mejora.",-2
12,Personalization of Daily Tips...,"Personalization of Daily Tips
Historia: As a user, I want to be able to disable the display of daily tips or messages through the settings section to control the content I receive.
Criterios de Aceptación: 1. Given a user, when they access the ""Application Settings"" section, they will find a clear option labeled ""Show Daily Tips"".
2. Since the user disables the ""Show Daily Tips"" option and saves the settings, the tips stop appearing on the home screen or in the designated section.
3. Since the user has disabled the feature, then by re-enabling the option in the settings, the daily tips will be displayed again in the application.",4.0,User Story,2,5,"La historia de usuario está bien estructurada y presenta un valor claro para el usuario final al permitirle controlar la visualización de consejos diarios. Los criterios de aceptación son claros y estimables, aunque podrían beneficiarse de una mayor claridad en la descripción de los estados iniciales y finales de la funcionalidad. No se mencionan riesgos o consideraciones adicionales, lo que podría mejorar la comprensión del impacto en el sistema.",-3
13,Psychiatrist Details Page...,"Psychiatrist Details Page
Historia: As a psychiatrist, I want to be able to access a page that displays relevant content, my personal information, and that I can modify.
Criterios de Aceptación: 1. Given a psychiatrist, when he accesses it, he will be able to view your personal information along with relevant content.
2. Given a psychiatrist, that he/she may be able to edit his/her personal information in the user view.
3. Given a psychiatrist, they can choose what to view in their details, their personal information, their calendar with their reminders, among other things.",4.0,User Story,8,5,"La historia de usuario presenta un valor claro para el usuario final (el psiquiatra) al permitirle acceder y modificar su información personal. Los criterios de aceptación son comprensibles y estimables, aunque hay algunas omisiones triviales en la claridad de la redacción, como la falta de especificación sobre qué se considera 'contenido relevante' y cómo se gestionarán las opciones de visualización. Sin embargo, en general, la historia está bien estructurada y lista para el Sprint con algunas mejoras menores.",3
801,Database Structure and Normalization...,"Database Structure and Normalization
Historia: 
Criterios de Aceptación: ",2.0,Technical Task,0,3,"El PBI presenta una ambigüedad severa, ya que no proporciona detalles sobre la estructura de la base de datos ni los objetivos específicos de la normalización. No se definen criterios de aceptación, lo que dificulta la estimación y comprensión del trabajo requerido. Además, agrupa múltiples flujos sin especificar el impacto o comportamiento esperado, lo que lo hace poco claro y requiere refinamiento.",-3
802,Interface Agility...,"Interface Agility
Historia: 
Criterios de Aceptación: ",1.0,User Story,0,5,"El PBI carece de información esencial. No se proporciona una descripción clara de la historia ni de los criterios de aceptación, lo que lo hace incomprensible y vacío. No se puede estimar ni entender el valor que se espera entregar al usuario final.",-5
803,Mobile Login Mechanism...,"Mobile Login Mechanism
Historia: 
Criterios de Aceptación: ",2.0,User Story,0,5,"El PBI presenta una ambigüedad severa, ya que no proporciona detalles sobre el mecanismo de inicio de sesión móvil ni los criterios de aceptación específicos. La falta de información sobre el comportamiento esperado y los flujos de usuario hace que sea difícil estimar el esfuerzo y el impacto. Además, no se define claramente el valor que se entregará al usuario final, lo que dificulta su comprensión y priorización.",-5
804,Mobile Interface Coherence...,"Mobile Interface Coherence
Historia: 
Criterios de Aceptación: ",2.0,User Story,0,5,"El PBI presenta una ambigüedad severa, ya que el título 'Mobile Interface Coherence' no proporciona un contexto claro sobre qué aspectos específicos de la coherencia de la interfaz móvil se deben abordar. Además, no se incluyen criterios de aceptación, lo que impide definir el comportamiento esperado y la forma de validar la entrega. Esto agrupa múltiples flujos sin especificar el impacto o los resultados esperados, lo que dificulta su estimación y comprensión.",-5
805,Change history...,"Change history
Historia: 
Criterios de Aceptación: ",1.0,User Story,0,5,"El PBI carece de información esencial. No se proporciona una descripción clara de la historia ni criterios de aceptación específicos. Esto lo hace incomprensible y sin valor descriptivo, lo que impide su estimación y desarrollo.",-5
806,Interface Visualization...,"Interface Visualization
Historia: 
Criterios de Aceptación: ",2.0,User Story,0,5,"El PBI presenta una ambigüedad severa, ya que el título 'Interface Visualization' no proporciona suficiente contexto sobre qué interfaz se está visualizando ni qué se espera lograr con esta visualización. Además, la sección de 'Historia' está vacía y no se especifican los 'Criterios de Aceptación', lo que impide entender el impacto o comportamiento esperado. Esto agrupa múltiples flujos sin definir claramente el objetivo o los requisitos, lo que lo hace difícil de estimar y refinar.",-5
807,Data validation...,"Data validation
Historia: 
Criterios de Aceptación: ",2.0,Technical Task,0,5,"El PBI presenta una ambigüedad severa, ya que no proporciona información suficiente sobre el contexto de la validación de datos ni detalla los criterios de aceptación. La falta de claridad en los requisitos y la ausencia de un impacto o comportamiento esperado hacen que sea difícil de estimar y comprender. Se requiere un refinamiento significativo para que sea útil.",-5
808,DB alerts...,"DB alerts
Historia: 
Criterios de Aceptación: ",2.0,Technical Task,0,5,"El PBI presenta ambigüedad severa, ya que no se proporciona información suficiente sobre el contexto, los objetivos específicos o el comportamiento esperado de las alertas de la base de datos. Además, la falta de criterios de aceptación claros impide una estimación precisa y la comprensión del impacto esperado. Esto sugiere que el PBI necesita un refinamiento significativo para ser considerado útil.",-5
809,new alerts...,"new alerts
Historia: 
Criterios de Aceptación: ",2.0,User Story,0,5,"El PBI presenta ambigüedad severa, ya que el término 'new alerts' no proporciona suficiente contexto sobre qué tipo de alertas se están creando, su propósito o cómo se espera que interactúen con el usuario final. Además, no se especifican criterios de aceptación, lo que impide entender cómo se medirá el éxito de esta historia. La falta de detalles sobre el impacto o comportamiento esperado hace que sea difícil estimar y refinar adecuadamente esta historia.",-5
